Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI,MACD,BB_upper,BB_lower,ATR,Volatility
2018-01-02 00:00:00-05:00,36.539249068018925,36.539249068018925,35.846001214279184,35.854454040527344,6516100,0.0,0.0,,,,,0.0,
2018-01-03 00:00:00-05:00,35.93055248962291,36.15881756303232,35.812193538604596,35.99818801879883,8633800,0.0,0.0,,,,,0.0,
2018-01-04 00:00:00-05:00,36.116547104313504,36.395535600604255,35.91364374106969,36.08272933959961,8718800,0.0,0.0,,,,,0.0,
2018-01-05 00:00:00-05:00,36.201078853948076,36.66606170991122,36.09962881129254,36.54770278930664,10811500,0.0,0.0,,,,,0.0,
2018-01-08 00:00:00-05:00,36.437786467529065,36.74213973510624,36.33633645334927,36.361698150634766,8140300,0.0,0.0,,,,,0.0,
2018-01-09 00:00:00-05:00,36.471622260051454,36.471622260051454,36.2602660779927,36.344810485839844,5805300,0.0,0.0,,,,,0.0,
2018-01-10 00:00:00-05:00,36.15036157675565,36.39553553291608,35.89673479195224,36.04045867919922,6494700,0.0,0.0,,,,,0.0,
2018-01-11 00:00:00-05:00,36.08272686839368,36.18417693054778,35.753011747613364,35.939002990722656,6526500,0.0,0.0,,,,,0.0,
2018-01-12 00:00:00-05:00,36.057370055272,36.09964065148944,35.795287198660276,35.90519332885742,7179400,0.0,0.0,,,,,0.0,
2018-01-16 00:00:00-05:00,35.947459831556785,36.52234890475974,35.93055094998736,36.344810485839844,8659500,0.0,0.0,,,,,0.0,
2018-01-17 00:00:00-05:00,36.58153292899863,37.35086939840735,36.46317396832648,37.0803337097168,11557700,0.0,0.0,,,,,0.0,
2018-01-18 00:00:00-05:00,37.01269900161037,37.240964098735724,36.55617203239955,36.928157806396484,6824600,0.0,0.0,,,,,0.0,
2018-01-19 00:00:00-05:00,36.92816006668412,37.350872518706566,36.919704011621235,37.317054748535156,8893300,0.0,0.0,,,,,0.0,
2018-01-22 00:00:00-05:00,36.93660877911529,37.54531567418346,36.93660877911529,37.43540954589844,6940100,0.0,0.0,77.21520805894848,,,,0.5217469218225911,
2018-01-23 00:00:00-05:00,37.25786604894471,37.697487277329344,37.13950710765641,37.62139892578125,6831600,0.0,0.0,79.10169113021374,,,,0.5243350109547588,
2018-01-24 00:00:00-05:00,37.697486877441406,37.84120752604143,37.587580765251296,37.697486877441406,6794200,0.0,0.0,79.83717255423583,,,,0.5049987073715713,
2018-01-25 00:00:00-05:00,37.807387328817285,38.04410517343962,37.36776617091956,37.596031188964844,7402900,0.0,0.0,75.99656677899733,,,,0.5172372998821776,
2018-01-26 00:00:00-05:00,37.71439710335496,37.71439710335496,37.30013757342528,37.55376434326172,5733000,0.0,0.0,74.39101908786935,,,,0.5098817448855707,
2018-01-29 00:00:00-05:00,38.01030843914346,38.0525790454845,37.460784106628864,37.65523147583008,10451700,0.0,0.0,75.71730267820452,,,,0.5157326873120038,
2018-01-30 00:00:00-05:00,37.68903693462699,38.09484042796258,37.41004521887406,37.48613357543945,7110700,0.0,0.0,69.2780256009911,,38.16707980516698,35.4119252454922,0.5278085817246121,
2018-01-31 00:00:00-05:00,37.47767432587599,37.8496599914412,37.34240329290071,37.5368537902832,14784000,0.0,0.0,70.0994152262419,,38.21759353988744,35.52965148574733,0.5263405900686032,0.007067305302753943
2018-02-01 00:00:00-05:00,37.50303891953838,39.34606496022186,37.44385945057471,38.77962875366211,20120900,0.0,0.0,82.4681275209547,,38.529991107044445,35.495397992076654,0.6246166557527849,0.00987225563419235
2018-02-02 00:00:00-05:00,38.75426810284902,38.99944203812405,38.41609693522556,38.46682357788086,10937100,0.0,0.0,74.15350379138548,,38.71154510084356,35.55225342210566,0.6216686876917639,0.010219953282339506
2018-02-05 00:00:00-05:00,38.314651602243465,39.058626327783635,37.14796447753906,37.14796447753906,14324200,0.0,0.0,50.86709357715128,,38.71866292048281,35.60516177128965,0.7137396278741074,0.012956625524643241
2018-02-06 00:00:00-05:00,36.894344451654256,37.680589916346854,36.581538121896635,37.66368103027344,12196800,0.0,0.0,56.6056354430326,,38.75305427045722,35.7009687092791,0.7412619254866868,0.013187905199544337
2018-02-07 00:00:00-05:00,37.443866359663446,37.85812271884709,37.07187737177961,37.240962982177734,8322200,0.0,0.0,51.31511045317263,0.38670462208130374,38.743267000866176,35.80037122850394,0.7444750270281724,0.0135026736912645
2018-02-08 00:00:00-05:00,37.342410437316424,37.486134324830694,36.07427328590136,36.08272933959961,13672600,0.0,0.0,40.22241057116352,0.24169953876006645,38.73840463715594,35.809460658254224,0.7921454564496837,0.015208684374108127
2018-02-09 00:00:00-05:00,36.209542946084674,36.463169721562885,35.35566215775938,35.626197814941406,13993500,0.0,0.0,36.84182160048434,0.08891868759536692,38.78482385439863,35.731760923433406,0.8146713212606708,0.015467146341046041
2018-02-12 00:00:00-05:00,35.82064951320615,36.251817986971446,35.592384419749195,35.95591735839844,15788600,0.0,0.0,40.717178809772385,-0.005492314125085329,38.77850224325577,35.74315493753036,0.8035829102579265,0.015613046429520208
2018-02-13 00:00:00-05:00,35.72764727552284,36.37017186923657,35.507838267171955,36.18417739868164,9240100,0.0,0.0,43.31049054907378,-0.06118967905013761,38.791332931992216,35.71426094007809,0.8077793882441187,0.015427985662567008
2018-02-14 00:00:00-05:00,36.06580841901064,36.61533562454895,35.541646141061086,36.319435119628906,10233100,0.0,0.0,44.850020276706985,-0.09334010768736078,38.80521970107542,35.624284311986095,0.8267729664758144,0.014707106342070373
